ExecuteDtTm,t,n,SortTime,CombineTime
09/03/2013 06:01:35,1,30000,51,91
09/03/2013 06:01:38,1,30000,1051,98
09/03/2013 06:01:39,1,30000,50,95
09/03/2013 06:01:41,1,30000,49,90
09/03/2013 06:01:43,1,30000,51,93
09/03/2013 06:01:45,1,40000,69,86
09/03/2013 06:01:48,1,40000,1065,89
09/03/2013 06:01:50,1,40000,68,86
09/03/2013 06:01:52,1,40000,66,87
09/03/2013 06:01:54,1,40000,70,87
09/03/2013 06:01:56,1,40000,64,85
09/03/2013 06:01:59,1,40000,66,84
09/03/2013 06:02:01,1,40000,62,87
09/03/2013 06:02:03,1,40000,63,84
09/03/2013 06:02:05,1,40000,63,86
09/03/2013 06:02:07,1,50000,65,88
09/03/2013 06:02:09,1,50000,69,87
09/03/2013 06:02:11,1,50000,67,88
09/03/2013 06:02:13,1,50000,67,87
09/03/2013 06:02:15,1,50000,72,91
09/03/2013 06:02:18,1,50000,67,91
09/03/2013 06:02:20,1,50000,69,89
09/03/2013 06:02:22,1,50000,65,88
09/03/2013 06:02:24,1,50000,69,89
09/03/2013 06:02:26,1,50000,72,86
09/03/2013 06:02:28,1,60000,73,92
09/03/2013 06:02:31,1,60000,70,88
09/03/2013 06:02:33,1,60000,71,89
09/03/2013 06:02:35,1,60000,68,91
09/03/2013 06:02:37,1,60000,71,91
09/03/2013 06:02:39,1,60000,72,89
09/03/2013 06:02:41,1,60000,67,90
09/03/2013 06:02:43,1,60000,73,91
09/03/2013 06:02:45,1,60000,71,90
09/03/2013 06:02:47,1,60000,73,90
09/03/2013 06:02:49,1,70000,76,90
09/03/2013 06:02:51,1,70000,77,93
09/03/2013 06:02:53,1,70000,76,88
09/03/2013 06:02:55,1,70000,74,90
09/03/2013 06:02:57,1,70000,76,90
09/03/2013 06:02:59,1,70000,71,89
09/03/2013 06:03:01,1,70000,76,91
09/03/2013 06:03:03,1,70000,83,92
09/03/2013 06:03:05,1,70000,74,95
09/03/2013 06:03:07,1,70000,76,87
09/03/2013 06:03:09,1,80000,83,90
09/03/2013 06:03:11,1,80000,81,90
09/03/2013 06:03:13,1,80000,77,92
09/03/2013 06:03:15,1,80000,81,89
09/03/2013 06:03:17,1,80000,79,89
09/03/2013 06:03:19,1,80000,86,93
09/03/2013 06:03:21,1,80000,80,91
09/03/2013 06:03:23,1,80000,76,91
09/03/2013 06:03:25,1,80000,83,96
09/03/2013 06:03:27,1,80000,77,92
09/03/2013 06:03:29,1,90000,84,93
09/03/2013 06:03:31,1,90000,86,94
09/03/2013 06:03:33,1,90000,83,91
09/03/2013 06:03:35,1,90000,81,95
09/03/2013 06:03:37,1,90000,78,95
09/03/2013 06:03:39,1,90000,81,96
09/03/2013 06:03:41,1,90000,87,93
09/03/2013 06:03:43,1,90000,80,92
09/03/2013 06:03:45,1,90000,81,94
09/03/2013 06:03:47,1,90000,84,92
09/03/2013 06:03:49,1,100000,90,96
09/03/2013 06:03:51,1,100000,88,95
09/03/2013 06:03:53,1,100000,92,96
09/03/2013 06:03:56,1,100000,84,97
09/03/2013 06:03:58,1,100000,82,95
09/03/2013 06:04:00,1,100000,86,92
09/03/2013 06:04:02,1,100000,89,92
09/03/2013 06:04:04,1,100000,91,90
09/03/2013 06:04:06,1,100000,89,95
09/03/2013 06:04:08,1,100000,87,93
09/03/2013 06:04:10,1,100000,83,92
09/03/2013 06:04:12,1,100000,85,94
09/03/2013 06:04:14,1,100000,84,95
09/03/2013 06:04:16,1,100000,89,93
09/03/2013 06:04:18,1,100000,84,92
09/03/2013 06:04:20,1,100000,82,95
09/03/2013 06:04:22,1,100000,83,93
09/03/2013 06:04:24,1,100000,86,90
09/03/2013 06:04:26,1,100000,86,93
09/03/2013 06:04:28,1,100000,89,98
09/03/2013 06:04:30,1,200000,110,102
09/03/2013 06:04:32,1,200000,112,109
09/03/2013 06:04:34,1,200000,111,111
09/03/2013 06:04:37,1,200000,113,111
09/03/2013 06:04:39,1,200000,110,104
09/03/2013 06:04:41,1,200000,113,111
09/03/2013 06:04:43,1,200000,115,107
09/03/2013 06:04:45,1,200000,112,110
09/03/2013 06:04:47,1,200000,112,105
09/03/2013 06:04:49,1,200000,114,105
09/03/2013 06:04:51,1,300000,143,110
09/03/2013 06:04:54,1,300000,151,112
09/03/2013 06:04:56,1,300000,147,114
09/03/2013 06:04:58,1,300000,143,113
09/03/2013 06:05:00,1,300000,137,114
09/03/2013 06:05:02,1,300000,141,110
09/03/2013 06:05:04,1,300000,145,116
09/03/2013 06:05:06,1,300000,139,112
09/03/2013 06:05:09,1,300000,152,122
09/03/2013 06:05:11,1,300000,146,113
09/03/2013 06:05:13,1,400000,212,121
09/03/2013 06:05:15,1,400000,208,118
09/03/2013 06:05:17,1,400000,175,122
09/03/2013 06:05:20,1,400000,213,121
09/03/2013 06:05:22,1,400000,207,126
09/03/2013 06:05:24,1,400000,205,121
09/03/2013 06:05:26,1,400000,209,119
09/03/2013 06:05:29,1,400000,204,121
09/03/2013 06:05:31,1,400000,214,121
09/03/2013 06:05:33,1,400000,225,118
09/03/2013 06:05:35,1,500000,239,146
09/03/2013 06:05:38,1,500000,245,147
09/03/2013 06:05:40,1,500000,240,147
09/03/2013 06:05:42,1,500000,240,151
09/03/2013 06:05:45,1,500000,231,124
09/03/2013 06:05:47,1,500000,243,150
09/03/2013 06:05:49,1,500000,199,160
09/03/2013 06:05:52,1,500000,237,148
09/03/2013 06:05:54,1,500000,242,123
09/03/2013 06:05:56,1,500000,237,127
09/03/2013 06:05:58,1,600000,287,133
09/03/2013 06:06:01,1,600000,294,136
09/03/2013 06:06:03,1,600000,292,135
09/03/2013 06:06:06,1,600000,293,132
09/03/2013 06:06:08,1,600000,289,133
09/03/2013 06:06:10,1,600000,286,134
09/03/2013 06:06:13,1,600000,284,134
09/03/2013 06:06:15,1,600000,286,137
09/03/2013 06:06:17,1,600000,281,131
09/03/2013 06:06:20,1,600000,290,135
09/03/2013 06:06:22,1,700000,284,162
09/03/2013 06:06:24,1,700000,295,164
09/03/2013 06:06:27,1,700000,331,160
09/03/2013 06:06:29,1,700000,299,159
09/03/2013 06:06:32,1,700000,298,159
09/03/2013 06:06:34,1,700000,301,164
09/03/2013 06:06:37,1,700000,286,160
09/03/2013 06:06:39,1,700000,296,160
09/03/2013 06:06:41,1,700000,303,163
09/03/2013 06:06:44,1,700000,293,162
09/03/2013 06:06:46,1,800000,316,144
09/03/2013 06:06:49,1,800000,340,144
09/03/2013 06:06:51,1,800000,316,149
09/03/2013 06:06:54,1,800000,338,142
09/03/2013 06:06:56,1,800000,317,163
09/03/2013 06:06:59,1,800000,314,164
09/03/2013 06:07:01,1,800000,336,142
09/03/2013 06:07:04,1,800000,343,146
09/03/2013 06:07:06,1,800000,321,147
09/03/2013 06:07:09,1,800000,339,147
09/03/2013 06:07:11,1,900000,342,175
09/03/2013 06:07:14,1,900000,345,177
09/03/2013 06:07:16,1,900000,341,176
09/03/2013 06:07:19,1,900000,342,178
09/03/2013 06:07:21,1,900000,346,178
