,n,TotalTime
8/22/2013 10:43,800000,42
8/22/2013 10:43,800000,68
8/22/2013 10:43,800000,47
8/22/2013 10:43,800000,52
8/22/2013 10:43,800000,47
8/22/2013 10:43,800000,53
8/22/2013 10:43,900000,51
8/22/2013 10:43,900000,65
8/22/2013 10:43,900000,54
8/22/2013 10:43,900000,54
8/22/2013 10:43,900000,58
8/22/2013 10:43,900000,57
8/22/2013 10:43,900000,56
8/22/2013 10:44,900000,46
8/22/2013 10:44,900000,56
8/22/2013 10:44,900000,52
8/22/2013 10:44,1000000,59
8/22/2013 10:44,1000000,67
8/22/2013 10:44,1000000,46
8/22/2013 10:44,1000000,47
8/22/2013 10:44,1000000,57
8/22/2013 10:44,1000000,49
8/22/2013 10:44,1000000,60
8/22/2013 10:44,1000000,65
8/22/2013 10:44,1000000,51
8/22/2013 10:44,1000000,53
8/22/2013 10:44,1000000,55
8/22/2013 10:44,1000000,49
8/22/2013 10:44,1000000,66
8/22/2013 10:45,1000000,57
8/22/2013 10:45,1000000,48
8/22/2013 10:45,1000000,70
8/22/2013 10:45,1000000,53
8/22/2013 10:45,1000000,62
8/22/2013 10:45,1000000,64
8/22/2013 10:45,1000000,52
8/22/2013 10:45,2000000,75
8/22/2013 10:45,2000000,85
8/22/2013 10:45,2000000,86
8/22/2013 10:45,2000000,81
8/22/2013 10:46,2000000,97
8/22/2013 10:46,2000000,115
8/22/2013 10:46,2000000,89
8/22/2013 10:46,2000000,101
8/22/2013 10:46,2000000,95
8/22/2013 10:46,2000000,99
8/22/2013 10:46,3000000,158
8/22/2013 10:47,3000000,145
8/22/2013 10:47,3000000,140
8/22/2013 10:47,3000000,135
8/22/2013 10:47,3000000,130
8/22/2013 10:47,3000000,140
8/22/2013 10:48,3000000,137
8/22/2013 10:48,3000000,160
8/22/2013 10:48,3000000,120
8/22/2013 10:48,3000000,137
8/22/2013 10:48,4000000,163
8/22/2013 10:48,4000000,201
8/22/2013 10:49,4000000,142
8/22/2013 10:49,4000000,165
8/22/2013 10:49,4000000,151
8/22/2013 10:49,4000000,147
8/22/2013 10:49,4000000,158
8/22/2013 10:49,4000000,190
8/22/2013 10:50,4000000,170
8/22/2013 10:50,4000000,164
8/22/2013 10:50,5000000,264
8/22/2013 10:51,5000000,247
8/22/2013 10:52,5000000,230
8/22/2013 10:52,5000000,232
8/22/2013 10:52,5000000,220
8/22/2013 10:53,5000000,194
8/22/2013 10:53,5000000,256
8/22/2013 10:54,5000000,260
8/22/2013 10:54,5000000,239
8/22/2013 10:54,5000000,253
8/22/2013 10:55,6000000,261
8/22/2013 10:56,6000000,306
8/22/2013 10:56,6000000,299
8/22/2013 10:57,6000000,319
8/22/2013 10:57,6000000,280
8/22/2013 10:58,6000000,242
8/22/2013 10:58,6000000,269
8/22/2013 10:59,6000000,220
8/22/2013 11:00,6000000,246
8/22/2013 11:00,6000000,255
8/22/2013 11:00,7000000,425
8/22/2013 11:01,7000000,256
8/22/2013 11:01,7000000,346
8/22/2013 11:02,7000000,330
8/22/2013 11:03,7000000,300
8/22/2013 11:03,7000000,303
8/22/2013 11:04,7000000,317
8/22/2013 11:04,7000000,244
8/22/2013 11:04,7000000,345
8/22/2013 11:05,7000000,312
8/22/2013 11:05,8000000,356
8/22/2013 11:05,8000000,372
8/22/2013 11:06,8000000,405
8/22/2013 11:06,8000000,332
8/22/2013 11:06,8000000,354
8/22/2013 11:08,8000000,414
8/22/2013 11:08,8000000,342
8/22/2013 11:09,8000000,392
8/22/2013 11:10,8000000,332
8/22/2013 11:11,8000000,334
8/22/2013 11:13,9000000,393
8/22/2013 11:14,9000000,329
8/22/2013 11:15,9000000,492
8/22/2013 11:15,9000000,392
8/22/2013 11:15,9000000,353
8/22/2013 11:16,9000000,320
8/22/2013 11:17,9000000,361
8/22/2013 11:18,9000000,409
8/22/2013 11:19,9000000,425
8/22/2013 11:19,9000000,348
8/22/2013 11:20,10000000,335
8/22/2013 11:20,10000000,433
8/22/2013 11:21,10000000,409
8/22/2013 11:21,10000000,436
8/22/2013 11:21,10000000,461
8/22/2013 11:22,10000000,398
8/22/2013 11:23,10000000,460
8/22/2013 11:24,10000000,477
8/22/2013 11:25,10000000,409
8/22/2013 11:26,10000000,499
8/22/2013 11:27,10000000,367
8/22/2013 11:28,10000000,476
8/22/2013 11:28,10000000,375
8/22/2013 11:28,10000000,517
8/22/2013 11:29,10000000,534
8/22/2013 11:30,10000000,517
8/22/2013 11:31,10000000,422
8/22/2013 11:33,10000000,436
8/22/2013 11:35,10000000,516
8/22/2013 11:36,10000000,377
8/22/2013 11:39,20000000,811
8/22/2013 11:40,20000000,1010
8/22/2013 11:41,20000000,1023
8/22/2013 11:43,20000000,1189
8/22/2013 11:44,20000000,1134
8/22/2013 11:46,20000000,1026
8/22/2013 11:47,20000000,950
8/22/2013 11:49,20000000,1117
8/22/2013 11:52,20000000,633
8/22/2013 11:55,20000000,1126
8/23/2013 12:00,30000000,1490
8/23/2013 12:04,30000000,1475
8/23/2013 12:05,30000000,1476
8/23/2013 12:06,30000000,1330
8/23/2013 12:13,30000000,1520
8/23/2013 12:16,30000000,1395
8/23/2013 12:18,30000000,1500
8/23/2013 12:23,30000000,1251
8/23/2013 12:27,30000000,1234
