,T,N,SortTime,CombineTime,
8/21/2013 12:06,2,700,6,9,9
8/21/2013 12:06,2,700,8,8,8
8/21/2013 12:06,2,700,7,9,9
8/21/2013 12:06,2,700,7,8,8
8/21/2013 12:06,2,700,7,9,9
8/21/2013 12:06,2,700,6,10,10
8/21/2013 12:06,2,700,6,9,9
8/21/2013 12:06,2,700,8,9,9
8/21/2013 12:06,2,800,7,9,9
8/21/2013 12:06,2,800,8,9,9
8/21/2013 12:06,2,800,6,10,10
8/21/2013 12:06,2,800,8,9,9
8/21/2013 12:06,2,800,7,9,9
8/21/2013 12:06,2,800,7,9,9
8/21/2013 12:06,2,800,8,10,10
8/21/2013 12:06,2,800,7,8,8
8/21/2013 12:06,2,800,7,9,9
8/21/2013 12:06,2,800,7,9,9
8/21/2013 12:06,2,900,8,11,11
8/21/2013 12:06,2,900,7,10,10
8/21/2013 12:06,2,900,9,10,10
8/21/2013 12:06,2,900,8,10,10
8/21/2013 12:06,2,900,7,11,11
8/21/2013 12:06,2,900,7,10,10
8/21/2013 12:06,2,900,8,11,11
8/21/2013 12:06,2,900,8,9,9
8/21/2013 12:06,2,900,7,10,10
8/21/2013 12:06,2,900,7,11,11
8/21/2013 12:06,4,100,6,4,4
8/21/2013 12:06,4,100,6,5,5
8/21/2013 12:06,4,100,7,6,6
8/21/2013 12:06,4,100,6,5,5
8/21/2013 12:06,4,100,6,4,4
8/21/2013 12:06,4,100,9,4,4
8/21/2013 12:06,4,100,4,6,6
8/21/2013 12:06,4,100,4,4,4
8/21/2013 12:06,4,100,6,4,4
8/21/2013 12:06,4,100,6,4,4
8/21/2013 12:06,4,200,7,6,6
8/21/2013 12:06,4,200,5,6,6
8/21/2013 12:06,4,200,5,6,6
8/21/2013 12:06,4,200,8,6,6
8/21/2013 12:06,4,200,7,7,7
8/21/2013 12:06,4,200,5,6,6
8/21/2013 12:06,4,200,6,6,6
8/21/2013 12:06,4,200,5,7,7
8/21/2013 12:06,4,200,8,6,6
8/21/2013 12:06,4,200,4,6,6
8/21/2013 12:06,4,300,7,7,7
8/21/2013 12:06,4,300,7,10,10
8/21/2013 12:06,4,300,6,7,7
8/21/2013 12:06,4,300,7,9,9
8/21/2013 12:06,4,300,5,10,10
8/21/2013 12:06,4,300,9,9,9
8/21/2013 12:06,4,300,6,6,6
8/21/2013 12:06,4,300,5,9,9
8/21/2013 12:06,4,300,7,7,7
8/21/2013 12:06,4,300,5,6,6
8/21/2013 12:06,4,400,6,8,8
8/21/2013 12:06,4,400,6,9,9
8/21/2013 12:06,4,400,5,8,8
8/21/2013 12:06,4,400,7,8,8
8/21/2013 12:06,4,400,6,10,10
8/21/2013 12:06,4,400,6,8,8
8/21/2013 12:06,4,400,8,9,9
8/21/2013 12:06,4,400,6,8,8
8/21/2013 12:06,4,400,5,7,7
8/21/2013 12:06,4,400,4,7,7
8/21/2013 12:06,4,500,6,10,10
8/21/2013 12:06,4,500,9,9,9
8/21/2013 12:06,4,500,9,9,9
8/21/2013 12:06,4,500,6,11,11
8/21/2013 12:06,4,500,7,9,9
8/21/2013 12:06,4,500,6,11,11
8/21/2013 12:06,4,500,8,9,9
8/21/2013 12:06,4,500,7,10,10
8/21/2013 12:06,4,500,6,10,10
8/21/2013 12:06,4,500,5,12,12
8/21/2013 12:06,4,600,7,11,11
8/21/2013 12:06,4,600,7,10,10
8/21/2013 12:06,4,600,6,11,11
8/21/2013 12:06,4,600,8,10,10
8/21/2013 12:06,4,600,7,12,12
8/21/2013 12:06,4,600,7,12,12
8/21/2013 12:06,4,600,6,9,9
8/21/2013 12:06,4,600,8,10,10
8/21/2013 12:06,4,600,7,12,12
8/21/2013 12:06,4,600,7,12,12
8/21/2013 12:06,4,700,6,10,10
8/21/2013 12:06,4,700,7,10,10
8/21/2013 12:06,4,700,8,13,13
8/21/2013 12:06,4,700,9,11,11
8/21/2013 12:06,4,700,8,13,13
8/21/2013 12:06,4,700,7,11,11
8/21/2013 12:06,4,700,7,16,16
8/21/2013 12:06,4,700,8,11,11
8/21/2013 12:06,4,700,10,11,11
8/21/2013 12:06,4,700,5,12,12
8/21/2013 12:06,4,800,6,12,12
8/21/2013 12:06,4,800,8,14,14
8/21/2013 12:06,4,800,9,11,11
8/21/2013 12:06,4,800,7,12,12
8/21/2013 12:06,4,800,9,13,13
8/21/2013 12:06,4,800,7,12,12
8/21/2013 12:06,4,800,6,13,13
8/21/2013 12:06,4,800,8,15,15
8/21/2013 12:06,4,800,8,13,13
8/21/2013 12:06,4,800,6,12,12
8/21/2013 12:06,4,900,6,14,14
8/21/2013 12:06,4,900,6,17,17
8/21/2013 12:06,4,900,9,13,13
8/21/2013 12:06,4,900,7,13,13
8/21/2013 12:06,4,900,6,12,12
8/21/2013 12:06,4,900,7,14,14
8/21/2013 12:06,4,900,8,14,14
8/21/2013 12:06,4,900,8,13,13
8/21/2013 12:06,4,900,7,12,12
8/21/2013 12:06,4,900,9,15,15
8/21/2013 12:06,8,100,19,9,9
8/21/2013 12:06,8,100,19,8,8
8/21/2013 12:06,8,100,18,9,9
8/21/2013 12:06,8,100,6,8,8
8/21/2013 12:06,8,100,5,8,8
8/21/2013 12:06,8,100,19,8,8
8/21/2013 12:06,8,100,7,8,8
8/21/2013 12:06,8,100,26,8,8
8/21/2013 12:06,8,100,14,16,16
8/21/2013 12:06,8,100,14,9,9
8/21/2013 12:06,8,200,19,11,11
8/21/2013 12:06,8,200,13,12,12
8/21/2013 12:06,8,200,6,12,12
8/21/2013 12:06,8,200,19,10,10
8/21/2013 12:06,8,200,7,10,10
8/21/2013 12:07,8,200,19,10,10
8/21/2013 12:07,8,200,19,10,10
8/21/2013 12:07,8,200,22,10,10
8/21/2013 12:07,8,200,8,11,11
8/21/2013 12:07,8,200,21,13,13
