t,n,SortTime,CombineTime,TotalTime
1,2000,723835,35676,759511
1,2000,729069,42723,771792
1,2000,767589,36080,803669
1,2000,744974,34754,779728
1,2000,755805,34297,790102
1,2000,753691,52196,805887
1,2000,635907,34392,670299
1,2000,762926,32782,795708
1,2000,648854,32892,681746
1,2000,679652,34542,714194
1,2000,753334,41750,795084
1,2000,754224,35967,790191
1,2000,637705,37348,675053
1,2000,759161,34273,793434
1,2000,697735,34955,732690
1,2000,649190,32885,682075
1,2000,704756,33004,737760
1,2000,743570,31238,774808
1,2000,671432,34486,705918
1,2000,751500,32293,783793
1,2000,756693,40243,796936
1,2000,734947,43430,778377
1,2000,747733,32006,779739
1,2000,686403,34348,720751
1,2000,629936,39043,668979
1,2000,724980,39869,764849
1,2000,735374,39838,775212
1,2000,749663,38200,787863
1,2000,726088,34308,760396
1,2000,762199,32115,794314
1,2000,643066,34273,677339
1,2000,635458,32294,667752
1,3000,979318,51137,1030455
1,3000,1043570,42336,1085906
1,3000,1028958,47797,1076755
1,3000,1052286,45136,1097422
1,3000,927538,41632,969170
1,3000,1032301,47620,1079921
1,3000,1045634,46410,1092044
1,3000,923616,50787,974403
1,3000,937362,46312,983674
1,3000,1085803,198247,1284050
1,3000,935668,48259,983927
1,3000,1049188,49190,1098378
1,3000,1125211,45252,1170463
1,3000,1074276,48356,1122632
1,3000,955561,48415,1003976
1,3000,970039,45179,1015218
1,3000,1039135,45627,1084762
1,3000,1029741,44616,1074357
1,3000,970644,45401,1016045
1,3000,1038923,45321,1084244
1,3000,1094941,45224,1140165
1,3000,1038765,48004,1086769
1,3000,928534,49213,977747
1,3000,1112591,46660,1159251
1,3000,1034198,47401,1081599
1,3000,1044482,45357,1089839
1,3000,971828,46988,1018816
1,3000,1032484,49664,1082148
1,3000,983960,49768,1033728
1,3000,967822,46521,1014343
1,3000,982214,53468,1035682
1,3000,1090249,46950,1137199
1,3000,985749,45086,1030835
1,3000,1077309,47331,1124640
1,3000,1034986,47643,1082629
1,3000,1041998,214827,1256825
1,3000,1035193,46015,1081208
1,3000,1137567,46331,1183898
1,3000,960624,53283,1013907
1,3000,1038285,43364,1081649
1,3000,1060327,46448,1106775
1,3000,1055736,46723,1102459
1,3000,1032831,46163,1078994
1,3000,933776,46122,979898
1,3000,931838,48474,980312
1,3000,1093366,45771,1139137
1,3000,1045789,46447,1092236
1,3000,1092180,49301,1141481
1,3000,1054029,43399,1097428
1,3000,976492,51518,1028010
1,3000,1080511,46139,1126650
1,3000,1038325,45940,1084265
1,3000,983103,52029,1035132
1,3000,1045090,45149,1090239
1,3000,1029217,187222,1216439
1,3000,1058064,42924,1100988
1,3000,1156986,48874,1205860
1,3000,958353,46419,1004772
1,3000,1052432,42398,1094830
1,3000,966580,46757,1013337
1,3000,1079473,46405,1125878
1,3000,1097448,46534,1143982
1,3000,1048420,48799,1097219
1,3000,1091811,49725,1141536
1,3000,1043468,41816,1085284
1,3000,987416,51117,1038533
1,3000,970547,49572,1020119
1,3000,1072524,46009,1118533
1,3000,1046539,46806,1093345
1,3000,974113,45671,1019784
1,3000,1037831,43322,1081153
1,3000,1030419,45250,1075669
1,3000,1040749,46461,1087210
1,3000,1035796,43565,1079361
1,3000,1072514,46971,1119485
1,3000,1045352,48062,1093414
1,3000,1044146,45709,1089855
1,3000,1053951,43104,1097055
1,3000,971839,210057,1181896
1,3000,967697,46142,1013839
1,3000,909097,49466,958563
1,3000,1050655,46565,1097220
1,3000,933344,48760,982104
1,3000,1028981,45772,1074753
1,3000,1032978,48437,1081415
1,3000,943097,45798,988895
1,3000,1044704,49169,1093873
1,3000,1029613,45510,1075123
1,3000,934944,47765,982709
1,3000,988128,48095,1036223
1,3000,1037337,46555,1083892
1,3000,1105016,45497,1150513
1,3000,1176970,48184,1225154
1,3000,1051310,46417,1097727
1,3000,1039892,48991,1088883
1,3000,937546,43597,981143
1,3000,957375,45756,1003131
1,3000,1106861,46485,1153346
1,3000,980938,53739,1034677
1,3000,1115042,49948,1164990
1,3000,1114643,48057,1162700
1,3000,1034866,41765,1076631
1,3000,938587,44750,983337
1,3000,933524,44014,977538
1,3000,1043060,45909,1088969
1,3000,953396,45543,998939
1,3000,1055520,43314,1098834
1,3000,1046125,49120,1095245
1,3000,1048557,48459,1097016
1,3000,930458,47789,978247
1,3000,1034714,45249,1079963
1,3000,1045861,45175,1091036
1,3000,1034342,47541,1081883
1,3000,995098,48987,1044085
1,3000,1039960,43602,1083562
1,4000,1336856,58064,1394920
1,4000,1233663,58524,1292187
1,4000,1334999,64926,1399925
1,4000,1395275,58908,1454183
1,4000,1399660,56372,1456032
1,4000,1333597,53083,1386680
1,4000,1431191,51943,1483134
1,4000,1403689,87397,1491086
1,4000,1277213,57825,1335038
1,4000,1266039,61173,1327212
1,4000,1273602,58366,1331968
1,4000,1324925,67242,1392167
1,4000,1375888,58318,1434206
1,4000,1384872,55298,1440170
1,4000,1397287,53404,1450691
1,4000,1396903,54883,1451786
1,4000,1397922,56596,1454518
1,4000,1346841,58459,1405300
1,4000,1343917,59753,1403670
1,4000,1351255,56552,1407807
1,4000,1337354,71782,1409136
1,4000,1385115,56026,1441141
1,4000,1263555,62331,1325886
1,4000,1337174,63074,1400248
1,4000,1367322,51794,1419116
1,4000,1369888,62908,1432796
1,4000,1394878,56964,1451842
1,4000,1351879,95602,1447481
1,4000,1364601,66058,1430659
1,4000,1327994,59734,1387728
1,4000,1350338,53697,1404035
1,4000,1339880,65651,1405531
1,4000,1382823,58835,1441658
1,4000,1344265,57580,1401845
1,4000,1362588,56558,1419146
1,4000,1229831,59660,1289491
1,4000,1345594,64641,1410235
1,4000,1340716,60741,1401457
1,4000,1399128,60888,1460016
1,4000,1354147,63271,1417418
1,4000,1360898,65917,1426815
1,4000,1348340,53975,1402315
1,4000,1241758,63074,1304832
1,4000,1330915,53555,1384470
1,4000,1342540,57653,1400193
1,4000,1229640,55193,1284833
1,4000,1327909,60511,1388420
1,4000,1412179,55049,1467228
1,4000,1336951,61739,1398690
1,4000,1325806,65677,1391483
1,4000,1353125,61474,1414599
1,4000,1261174,54439,1315613
1,4000,1332173,122428,1454601
1,4000,1393602,56118,1449720
1,4000,1372472,61945,1434417
1,4000,1336369,66403,1402772
1,4000,1337008,55611,1392619
1,4000,1405150,52328,1457478
1,4000,1225904,60366,1286270
1,4000,1382336,59766,1442102
1,4000,1232394,64515,1296909
1,4000,1287659,64597,1352256
1,4000,1258509,63784,1322293
1,4000,1359746,62835,1422581
1,4000,1335162,60406,1395568
1,4000,1366212,53249,1419461
1,4000,1245702,59856,1305558
1,4000,1364594,52843,1417437
1,4000,1329688,57334,1387022
1,4000,1339486,134867,1474353
1,4000,1343312,58126,1401438
1,4000,1342201,65021,1407222
1,4000,1338761,57700,1396461
1,4000,1279327,57496,1336823
1,4000,1352988,55940,1408928
1,4000,1323541,63226,1386767
1,4000,1358253,55193,1413446
1,4000,1339306,68648,1407954
1,4000,1352756,132251,1485007
1,4000,1277325,63403,1340728
1,4000,1234899,64704,1299603
1,4000,1344325,64709,1409034
1,4000,1250542,70361,1320903
1,4000,1361170,65548,1426718
1,4000,1324337,63058,1387395
1,4000,1259465,56309,1315774
1,4000,1348584,59921,1408505
1,4000,1228915,228467,1457382
1,4000,1390318,58718,1449036
1,4000,1324324,58435,1382759
1,4000,1333593,58901,1392494
1,4000,1224668,58674,1283342
1,4000,1397437,58751,1456188
1,4000,1394067,55873,1449940
1,4000,1293338,235174,1528512
1,4000,1360256,254637,1614893
1,4000,1313826,58887,1372713
1,4000,1366559,65116,1431675
1,4000,1387131,57499,1444630
1,4000,1281742,57112,1338854
1,4000,1397391,59214,1456605
1,4000,1351256,53793,1405049
1,4000,1341576,59084,1400660
1,4000,1454996,59572,1514568
1,4000,1326525,65203,1391728
1,4000,1287242,60140,1347382
1,4000,1355683,203782,1559465
1,4000,1331421,68892,1400313
1,4000,1271012,60445,1331457
1,4000,1332907,75081,1407988
1,4000,1347552,60165,1407717
1,4000,1365832,60024,1425856
1,4000,1224718,57425,1282143
1,4000,1343857,60714,1404571
1,4000,1361557,67988,1429545
1,5000,1665768,62114,1727882
1,5000,1683737,75901,1759638
1,5000,1688840,69590,1758430
1,5000,1694945,176916,1871861
1,5000,1701241,75645,1776886
1,5000,1595168,67408,1662576
1,5000,1574262,69305,1643567
1,5000,1648248,78775,1727023
1,5000,1598199,66530,1664729
1,5000,1661279,73499,1734778
1,5000,1557195,67291,1624486
1,5000,1698999,66255,1765254
1,5000,1653387,87197,1740584
1,5000,1768378,75768,1844146
1,5000,1651779,82964,1734743
1,5000,1716716,72084,1788800
1,5000,1651979,68080,1720059
1,5000,1688001,67645,1755646
1,5000,1784119,71171,1855290
1,5000,1573837,74239,1648076
1,5000,1659636,66427,1726063
1,5000,1582191,70004,1652195
1,5000,1635217,73941,1709158
1,5000,1684692,67679,1752371
1,5000,1712816,72411,1785227
1,5000,1656222,70239,1726461
1,5000,1655337,73062,1728399
1,5000,1659060,70959,1730019
1,5000,1674425,64450,1738875
1,5000,1678668,70622,1749290
1,5000,1661887,68496,1730383
1,5000,1668169,72775,1740944
1,5000,1667366,70316,1737682
1,5000,1648202,69882,1718084
1,5000,1683706,66293,1749999
1,5000,1708535,75722,1784257
1,5000,1564920,62275,1627195
1,5000,1661326,78217,1739543
1,5000,1660471,72457,1732928
1,5000,1680259,71738,1751997
1,5000,1590909,70713,1661622
1,5000,1666528,68196,1734724
1,5000,1702055,77585,1779640
1,5000,1688634,76612,1765246
1,5000,1709500,68923,1778423
1,5000,1662886,65233,1728119
1,5000,1671391,65154,1736545
1,5000,1695635,65404,1761039
1,5000,1639175,87031,1726206
1,5000,1666883,135521,1802404
1,5000,1599466,68143,1667609
1,5000,1554206,64093,1618299
1,5000,1587055,70450,1657505
1,5000,1673482,69478,1742960
1,5000,1644275,71076,1715351
1,5000,1762354,81086,1843440
1,5000,1644441,76014,1720455
1,5000,1601579,71041,1672620
1,5000,1718892,75537,1794429
1,5000,1590315,84422,1674737
1,5000,1711017,76501,1787518
1,5000,1717371,114496,1831867
1,5000,1577359,69523,1646882
1,5000,1664221,63412,1727633
1,5000,1554812,148777,1703589
1,5000,1676579,71127,1747706
1,5000,1585696,137930,1723626
1,5000,1662890,68918,1731808
1,5000,1557979,65860,1623839
1,5000,1589406,73228,1662634
1,5000,1690247,63073,1753320
1,5000,1649300,72120,1721420
1,5000,1776993,73870,1850863
1,5000,1661643,79328,1740971
1,5000,1666613,70660,1737273
1,5000,1671072,68096,1739168
1,5000,1680384,65035,1745419
1,5000,1565217,67608,1632825
1,5000,1676854,70892,1747746
1,5000,1510056,68879,1578935
1,5000,1676768,74527,1751295
1,5000,1658452,75576,1734028
1,5000,1632219,78654,1710873
1,5000,1652472,71687,1724159
1,5000,1719744,70164,1789908
1,5000,1554059,71753,1625812
1,5000,1536706,64326,1601032
1,5000,1568436,67737,1636173
1,5000,1722272,72611,1794883
1,5000,1548586,69950,1618536
1,5000,1649953,68843,1718796
1,5000,1548721,67662,1616383
1,5000,1694679,68852,1763531
1,5000,1622234,65079,1687313
1,5000,1671105,64818,1735923
1,5000,1664563,69703,1734266
1,5000,1671899,68309,1740208
1,5000,1574055,70931,1644986
1,5000,1628454,134388,1762842
1,5000,1672666,67354,1740020
1,5000,1688336,73358,1761694
1,5000,1608858,71210,1680068
1,5000,1571375,62113,1633488
1,5000,1698908,73621,1772529
1,5000,1775106,73009,1848115
1,5000,1601121,70903,1672024
1,5000,1683226,67850,1751076
1,5000,1669079,68065,1737144
1,5000,1674647,70946,1745593
1,5000,1590383,72203,1662586
1,5000,1658544,68678,1727222
1,5000,1610641,74893,1685534
1,5000,1709940,66793,1776733
1,5000,1635863,69667,1705530
1,5000,1670524,61604,1732128
1,6000,2010109,75909,2086018
1,6000,1921591,81732,2003323
1,6000,1835532,92642,1928174
1,6000,1975929,80312,2056241
1,6000,1920337,71191,1991528
1,6000,1838970,74073,1913043
1,6000,1998009,79380,2077389
1,6000,1943390,91061,2034451
1,6000,1956033,81921,2037954
1,6000,1978493,80498,2058991
1,6000,1862895,81609,1944504
1,6000,1978078,81148,2059226
1,6000,1979204,85187,2064391
1,6000,1976887,86220,2063107
1,6000,1996423,76385,2072808
1,6000,1967153,88912,2056065
1,6000,2002980,82853,2085833
1,6000,1953888,73495,2027383
1,6000,2014527,74094,2088621
1,6000,1862501,78528,1941029
1,6000,2019000,74525,2093525
1,6000,2008623,75770,2084393
1,6000,1950351,82728,2033079
1,6000,1982686,74151,2056837
1,6000,1916440,80004,1996444
1,6000,1968412,74680,2043092
1,6000,1998471,81148,2079619
1,6000,1943470,81807,2025277
1,6000,2009408,83515,2092923
1,6000,1959608,84214,2043822
1,6000,1964633,73061,2037694
1,6000,1859573,86937,1946510
1,6000,1899629,86056,1985685
1,6000,2013386,72807,2086193
1,6000,1979874,79107,2058981
1,6000,1969974,76692,2046666
1,6000,1989416,77743,2067159
1,6000,1978190,75646,2053836
1,6000,1968651,77083,2045734
1,6000,1824938,83449,1908387
1,6000,1994462,90898,2085360
1,6000,1951212,85944,2037156
1,6000,1959424,88196,2047620
1,6000,1847608,87143,1934751
1,6000,1991470,84244,2075714
1,6000,1963611,75025,2038636
1,6000,1904310,91825,1996135
1,6000,2012713,81726,2094439
1,6000,2008473,77884,2086357
1,6000,1973645,78823,2052468
1,6000,2219480,82024,2301504
1,6000,2017568,80472,2098040
1,6000,1939280,84144,2023424
1,6000,1959902,79606,2039508
1,6000,1835862,209998,2045860
1,6000,1871456,81768,1953224
1,6000,1965637,80548,2046185
1,6000,1971905,84802,2056707
1,6000,1876210,75349,1951559
1,6000,1881988,73794,1955782
1,6000,1876094,81116,1957210
1,6000,2001169,82282,2083451
1,6000,2017980,84800,2102780
1,6000,1971524,83565,2055089
1,6000,1989532,80549,2070081
1,6000,1974929,76193,2051122
1,6000,1907680,80507,1988187
1,6000,1970503,236068,2206571
1,6000,1971052,218112,2189164
1,6000,1962175,216136,2178311
1,6000,1998285,138977,2137262
1,6000,1876818,75994,1952812
1,6000,1943783,86548,2030331
1,6000,2001210,82563,2083773
1,6000,1857414,79832,1937246
1,6000,1976049,75373,2051422
1,6000,1980891,82213,2063104
1,6000,1986011,80447,2066458
1,6000,1975210,81345,2056555
1,6000,1989323,74726,2064049
