t,n,SortTime,CombineTime,TotalTime
8,4000,4410845,492124,4902969
8,4000,4137418,491095,4628513
8,4000,4046765,414934,4461699
8,4000,4226662,334362,4561024
8,4000,4733072,396256,5129328
8,4000,4345412,478046,4823458
8,4000,4471606,491741,4963347
8,4000,3993221,332850,4326071
8,4000,4426757,476366,4903123
8,4000,5031421,410547,5441968
8,4000,4341593,378897,4720490
8,4000,4205156,475502,4680658
8,4000,4766916,490277,5257193
8,4000,4568566,331468,4900034
8,4000,3950856,472952,4423808
8,4000,4662981,468513,5131494
8,4000,4364148,495079,4859227
8,4000,5032060,494038,5526098
8,4000,4623437,477815,5101252
8,4000,4013099,472064,4485163
8,4000,4298980,397349,4696329
8,4000,5424735,487410,5912145
8,4000,3919072,409546,4328618
8,4000,4312246,484096,4796342
8,4000,4185312,470558,4655870
8,4000,4311928,365146,4677074
8,4000,4013101,410866,4423967
8,4000,3765051,490483,4255534
8,4000,4213630,475422,4689052
8,4000,3840090,472671,4312761
8,4000,3879622,482141,4361763
8,4000,5094263,385719,5479982
8,4000,4904905,473679,5378584
8,4000,4305871,480908,4786779
8,4000,4053190,473558,4526748
8,4000,4975997,364450,5340447
8,4000,4581845,378252,4960097
8,4000,4187578,350669,4538247
8,4000,4020307,338322,4358629
8,4000,4403979,334374,4738353
8,4000,4761380,333921,5095301
8,4000,4037859,470442,4508301
8,4000,4725602,474135,5199737
8,4000,4178380,480863,4659243
8,4000,3541423,512496,4053919
8,4000,4657501,333386,4990887
8,4000,4375166,489418,4864584
8,4000,4326822,336360,4663182
8,4000,5034355,477374,5511729
8,5000,4366985,416649,4783634
8,5000,4953607,529924,5483531
8,5000,4400146,608153,5008299
8,5000,4368398,598409,4966807
8,5000,5636265,605102,6241367
8,5000,4526170,602255,5128425
8,5000,4172690,583918,4756608
8,5000,4195080,431262,4626342
8,5000,4723769,419200,5142969
8,5000,4286819,421428,4708247
8,5000,4029952,592104,4622056
8,5000,4364772,426642,4791414
8,5000,4539606,598218,5137824
8,5000,4255808,585877,4841685
8,5000,4132669,427890,4560559
8,5000,4106150,440339,4546489
8,5000,4094804,584703,4679507
8,5000,4816601,597594,5414195
8,5000,3984748,594467,4579215
8,5000,4580762,592437,5173199
8,5000,3967244,510987,4478231
8,5000,4069011,428271,4497282
8,5000,4502705,438053,4940758
8,5000,4880045,617917,5497962
8,5000,4564379,585747,5150126
8,5000,5252503,593826,5846329
8,5000,4709811,592245,5302056
8,5000,4194063,416752,4610815
8,5000,4135645,449104,4584749
8,5000,4066137,595243,4661380
8,5000,4206813,422020,4628833
8,5000,4630202,608813,5239015
8,5000,3824816,427875,4252691
8,5000,5215779,611345,5827124
8,5000,4188901,412554,4601455
8,5000,4866010,623194,5489204
8,5000,4436044,600465,5036509
8,5000,4094994,600686,4695680
8,5000,5181189,427865,5609054
8,5000,4996207,434948,5431155
8,5000,4352380,420216,4772596
8,5000,4769086,586674,5355760
8,5000,4313538,597219,4910757
8,5000,4125401,598617,4724018
8,5000,4122473,599979,4722452
8,5000,5620037,584148,6204185
8,5000,4373193,417889,4791082
8,5000,4151247,423066,4574313
8,5000,4125792,503622,4629414
8,5000,4284184,612157,4896341
8,5000,4829155,592420,5421575
8,5000,3744574,589690,4334264
8,5000,4182214,603996,4786210
8,5000,4389695,609862,4999557
8,5000,4251533,499981,4751514
8,5000,3636309,582471,4218780
8,5000,4494362,619225,5113587
8,5000,4267197,506388,4773585
8,5000,4705994,611603,5317597
8,5000,4237431,416539,4653970
8,5000,4325256,603590,4928846
8,5000,4621526,423030,5044556
8,5000,4290942,593223,4884165
8,5000,4474426,438577,4913003
8,5000,5070925,450550,5521475
8,5000,4813774,423006,5236780
8,5000,3752756,588027,4340783
8,5000,4339670,415222,4754892
8,5000,5264456,423159,5687615
8,5000,4859949,437849,5297798
8,5000,4454082,450550,4904632
8,5000,5021765,694310,5716075
8,5000,5137131,591165,5728296
8,5000,4162529,598464,4760993
8,5000,5157430,618112,5775542
8,5000,4520203,593874,5114077
8,5000,4746681,437969,5184650
8,5000,4571342,415197,4986539
8,5000,4258336,418708,4677044
8,5000,4189038,590502,4779540
8,5000,4319293,609728,4929021
8,5000,4129753,423944,4553697
8,5000,4706138,606540,5312678
8,5000,4518067,531247,5049314
8,5000,4459730,502432,4962162
8,5000,4430852,436649,4867501
8,5000,4503161,475962,4979123
8,5000,4460528,424168,4884696
8,5000,4760645,510822,5271467
8,5000,5140967,601205,5742172
8,5000,4124171,589330,4713501
8,5000,4817107,593280,5410387
8,5000,5214195,461659,5675854
8,5000,4700649,429605,5130254
8,5000,4226890,599603,4826493
8,5000,4960122,456718,5416840
8,5000,3896871,567469,4464340
8,5000,4714892,604391,5319283
8,5000,4459739,423405,4883144
8,5000,3997061,595244,4592305
8,5000,4488270,440793,4929063
8,5000,4257874,604814,4862688
8,5000,5426052,609086,6035138
8,5000,5180882,610007,5790889
8,5000,3923743,578516,4502259
8,5000,4080055,600510,4680565
8,5000,4515232,603302,5118534
8,5000,3871640,631893,4503533
8,5000,4393099,591918,4985017
8,5000,4341589,616363,4957952
8,5000,4246652,604742,4851394
8,5000,3914006,416853,4330859
8,5000,4355800,588789,4944589
8,5000,4674588,609389,5283977
8,5000,4861180,599376,5460556
8,6000,4589760,494227,5083987
8,6000,4326051,510163,4836214
8,6000,4662220,696892,5359112
8,6000,4278012,693789,4971801
8,6000,4599809,698734,5298543
8,6000,5310310,640001,5950311
8,6000,5649243,604811,6254054
8,6000,4147083,612692,4759775
8,6000,4716857,519995,5236852
8,6000,4938934,692165,5631099
8,6000,4124594,706486,4831080
8,6000,4241774,702646,4944420
8,6000,4936843,708937,5645780
8,6000,4878454,701104,5579558
8,6000,4637792,710413,5348205
8,6000,4433700,507357,4941057
8,6000,4977287,535004,5512291
8,6000,4368182,559851,4928033
8,6000,4255915,505298,4761213
8,6000,4163777,502565,4666342
8,6000,4072140,701615,4773755
8,6000,4106094,704974,4811068
8,6000,4281996,703200,4985196
8,6000,4006451,746183,4752634
8,6000,4342185,501828,4844013
8,6000,4579752,526012,5105764
8,6000,4225603,709903,4935506
8,6000,4769849,706039,5475888
8,6000,4328278,514845,4843123
8,6000,4759478,723066,5482544
8,6000,4588408,578282,5166690
8,6000,4665072,719352,5384424
8,6000,4420473,696776,5117249
8,6000,4191999,517032,4709031
8,6000,5143823,528311,5672134
8,6000,4525144,508329,5033473
8,6000,4694574,501444,5196018
8,6000,4598867,510915,5109782
8,6000,4910647,697144,5607791
8,6000,4814872,709507,5524379
8,6000,4399847,714632,5114479
8,6000,4447974,713158,5161132
8,6000,4469578,720528,5190106
8,6000,4636738,715179,5351917
8,6000,3995423,499197,4494620
8,6000,4144566,703963,4848529
8,6000,4286813,581617,4868430
8,6000,4276716,695894,4972610
8,6000,4226288,711516,4937804
8,6000,4356313,702346,5058659
8,6000,4612069,513689,5125758
8,6000,4386438,718363,5104801
8,6000,3766835,511317,4278152
8,6000,4871184,500899,5372083
8,6000,4255654,709915,4965569
8,6000,4772935,560763,5333698
8,6000,4358733,506431,4865164
8,6000,4317115,546781,4863896
8,6000,4450014,713545,5163559
8,6000,4281894,716718,4998612
8,6000,4637579,707868,5345447
8,6000,4426421,501994,4928415
8,6000,4150440,517734,4668174
8,6000,4302101,696311,4998412
8,6000,3968901,500925,4469826
8,6000,4757184,730545,5487729
8,6000,4947571,701150,5648721
8,6000,4453941,503583,4957524
8,6000,5659622,590679,6250301
8,6000,4435878,506718,4942596
8,6000,4855699,714516,5570215
8,6000,5339445,734426,6073871
8,6000,4553564,508676,5062240
